round_number,home_team_name,away_team_name,home_team_goals,away_team_goals
1,Brentford,Arsenal,2,0
1,Man United,Leeds,5,1
1,Burnley,Brighton Hove,1,2
1,Chelsea,Crystal Palace,3,0
1,Everton,Southampton,3,1
1,Leicester City,Wolverhampton,1,0
1,Watford,Aston Villa,3,2
1,Norwich,Liverpool,0,3
1,Newcastle,West Ham,2,4
1,Tottenham,Man City,1,0
2,Liverpool,Burnley,2,0
2,Aston Villa,Newcastle,2,0
2,Crystal Palace,Brentford,0,0
2,Leeds,Everton,2,2
2,Man City,Norwich,5,0
2,Brighton Hove,Watford,2,0
2,Southampton,Man United,1,1
2,Wolverhampton,Tottenham,0,1
2,Arsenal,Chelsea,0,2
2,West Ham,Leicester City,4,1
3,Man City,Arsenal,5,0
3,Aston Villa,Brentford,1,1
3,Brighton Hove,Everton,0,2
3,Newcastle,Southampton,2,2
3,Norwich,Leicester City,1,2
3,West Ham,Crystal Palace,2,2
3,Liverpool,Chelsea,1,1
3,Burnley,Leeds,1,1
3,Tottenham,Watford,1,0
3,Wolverhampton,Man United,0,1
4,Crystal Palace,Tottenham,3,0
4,Arsenal,Norwich,1,0
4,Brentford,Brighton Hove,0,1
4,Leicester City,Man City,0,1
4,Man United,Newcastle,4,1
4,Southampton,West Ham,0,0
4,Watford,Wolverhampton,0,2
4,Chelsea,Aston Villa,3,0
4,Leeds,Liverpool,0,3
4,Everton,Burnley,3,1
5,Newcastle,Leeds,1,1
5,Wolverhampton,Brentford,0,2
5,Burnley,Arsenal,0,1
5,Liverpool,Crystal Palace,3,0
5,Man City,Southampton,0,0
5,Norwich,Watford,1,3
5,Aston Villa,Everton,3,0
5,Brighton Hove,Leicester City,2,1
5,West Ham,Man United,1,2
5,Tottenham,Chelsea,0,3
6,Chelsea,Man City,0,1
6,Man United,Aston Villa,0,1
6,Everton,Norwich,2,0
6,Leeds,West Ham,1,2
6,Leicester City,Burnley,2,2
6,Watford,Newcastle,1,1
6,Brentford,Liverpool,3,3
6,Southampton,Wolverhampton,0,1
6,Arsenal,Tottenham,3,1
6,Crystal Palace,Brighton Hove,1,1
7,Man United,Everton,1,1
7,Burnley,Norwich,0,0
7,Chelsea,Southampton,3,1
7,Leeds,Watford,1,0
7,Wolverhampton,Newcastle,2,1
7,Brighton Hove,Arsenal,0,0
7,Crystal Palace,Leicester City,2,2
7,Tottenham,Aston Villa,2,1
7,West Ham,Brentford,1,2
7,Liverpool,Man City,2,2
8,Watford,Liverpool,0,5
8,Aston Villa,Wolverhampton,2,3
8,Leicester City,Man United,4,2
8,Man City,Burnley,2,0
8,Norwich,Brighton Hove,0,0
8,Southampton,Leeds,1,0
8,Brentford,Chelsea,0,1
8,Everton,West Ham,0,1
8,Newcastle,Tottenham,2,3
8,Arsenal,Crystal Palace,2,2
9,Arsenal,Aston Villa,3,1
9,Chelsea,Norwich,7,0
9,Crystal Palace,Newcastle,1,1
9,Everton,Watford,2,5
9,Leeds,Wolverhampton,1,1
9,Southampton,Burnley,2,2
9,Brighton Hove,Man City,1,4
9,Brentford,Leicester City,1,2
9,West Ham,Tottenham,1,0
9,Man United,Liverpool,0,5
10,Leicester City,Arsenal,0,2
10,Burnley,Brentford,3,1
10,Liverpool,Brighton Hove,2,2
10,Man City,Crystal Palace,0,2
10,Newcastle,Chelsea,0,3
10,Watford,Southampton,0,1
10,Tottenham,Man United,0,3
10,Norwich,Leeds,1,2
10,Aston Villa,West Ham,1,4
10,Wolverhampton,Everton,2,1
11,Southampton,Aston Villa,1,0
11,Man United,Man City,0,2
11,Brentford,Norwich,1,2
11,Chelsea,Burnley,1,1
11,Crystal Palace,Wolverhampton,2,0
11,Brighton Hove,Newcastle,1,1
11,Arsenal,Watford,1,0
11,Everton,Tottenham,0,0
11,Leeds,Leicester City,1,1
11,West Ham,Liverpool,3,2
12,Leicester City,Chelsea,0,3
