round_number,home_team_name,away_team_name,home_team_goals,away_team_goals
1,Arsenal,Leicester City,4,3
1,WATFORD,Liverpool,3,3
1,Chelsea,BURNLEY,2,3
1,Everton,STOKE,1,0
1,WEST BROM,Bournemouth,1,0
1,Southampton,SWANSEA,0,0
1,Crystal Palace,HUDDERSFIELD,0,3
1,Brighton Hove,Man City,0,2
1,Newcastle,Tottenham,0,2
1,Man United,West Ham,4,0
2,SWANSEA,Man United,0,4
2,Liverpool,Crystal Palace,1,0
2,Leicester City,Brighton Hove,2,0
2,BURNLEY,WEST BROM,0,1
2,Southampton,West Ham,3,2
2,Bournemouth,WATFORD,0,2
2,STOKE,Arsenal,1,0
2,HUDDERSFIELD,Newcastle,1,0
2,Tottenham,Chelsea,1,2
2,Man City,Everton,1,1
3,Bournemouth,Man City,1,2
3,Newcastle,West Ham,3,0
3,HUDDERSFIELD,Southampton,0,0
3,Crystal Palace,SWANSEA,0,2
3,WATFORD,Brighton Hove,0,0
3,Man United,Leicester City,2,0
3,Chelsea,Everton,2,0
3,WEST BROM,STOKE,1,1
3,Liverpool,Arsenal,4,0
3,Tottenham,BURNLEY,1,1
4,Man City,Liverpool,5,0
4,Arsenal,Bournemouth,3,0
4,Everton,Tottenham,0,3
4,Leicester City,Chelsea,1,2
4,Southampton,WATFORD,0,2
4,Brighton Hove,WEST BROM,3,1
4,STOKE,Man United,2,2
4,BURNLEY,Crystal Palace,1,0
4,SWANSEA,Newcastle,0,1
4,West Ham,HUDDERSFIELD,2,0
5,Bournemouth,Brighton Hove,2,1
5,Crystal Palace,Southampton,0,1
5,Liverpool,BURNLEY,1,1
5,Newcastle,STOKE,2,1
5,WEST BROM,West Ham,0,0
5,HUDDERSFIELD,Leicester City,1,1
5,WATFORD,Man City,0,6
5,Tottenham,SWANSEA,0,0
5,Chelsea,Arsenal,0,0
5,Man United,Everton,4,0
6,West Ham,Tottenham,2,3
6,Man City,Crystal Palace,5,0
6,SWANSEA,WATFORD,1,2
6,STOKE,Chelsea,0,4
6,Everton,Bournemouth,2,1
6,BURNLEY,HUDDERSFIELD,0,0
6,Southampton,Man United,0,1
6,Leicester City,Liverpool,2,3
6,Brighton Hove,Newcastle,1,0
6,Arsenal,WEST BROM,2,0
7,HUDDERSFIELD,Tottenham,0,4
7,WEST BROM,WATFORD,2,2
7,Man United,Crystal Palace,4,0
7,West Ham,SWANSEA,1,0
7,Bournemouth,Leicester City,0,0
7,STOKE,Southampton,2,1
7,Chelsea,Man City,0,1
7,Arsenal,Brighton Hove,2,0
7,Everton,BURNLEY,0,1
7,Newcastle,Liverpool,1,1
8,Liverpool,Man United,0,0
8,Man City,STOKE,7,2
8,SWANSEA,HUDDERSFIELD,2,0
8,Tottenham,Bournemouth,1,0
8,BURNLEY,West Ham,1,1
8,Crystal Palace,Chelsea,2,1
8,WATFORD,Arsenal,2,1
8,Brighton Hove,Everton,1,1
8,Southampton,Newcastle,2,2
8,Leicester City,WEST BROM,1,1
9,West Ham,Brighton Hove,0,3
9,Chelsea,WATFORD,4,2
